timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,8102.029269999998,0.0,4200.577140000002,0.0,0.0,0.0,0.0,1564.0096124985419,0.0,29799.383977501446
2,8102.029269999998,0.0,4200.577140000002,0.0,0.0,0.0,0.0,1085.5124869984074,0.0,30457.881103001575
3,8102.029269999998,0.0,4200.577140000002,0.0,0.0,0.0,0.0,1679.514281746926,6.069486927697761,31249.309821325394
4,8102.029269999998,0.0,4200.577140000002,0.0,0.0,0.0,0.0,3800.5107930014346,368.72133085763977,31931.161466140908
5,8102.029269999998,0.0,4200.577140000002,3420.7539914266704,0.0,0.0,0.0,4258.466999999997,2778.30764115365,33918.36495741968
6,8102.029269999998,0.0,4200.577140000002,2907.9261973138323,0.0,0.0,0.0,4258.466999999997,7583.823916158354,35911.67647652781
7,8102.029269999998,0.0,4200.577140000002,0.0,0.0,0.0,0.0,1900.8597548198295,13436.326686190921,38581.70714898919
8,5036.837342943793,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,18524.074103333558,39638.44441372266
9,2792.2947797010493,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,21728.76320115799,40144.29787914091
10,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,24763.506665006884,41678.53322819169
11,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,26305.15634464212,41955.06328200904
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28822.476047904718,42029.214084809304
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27643.478212199458,42237.81609388017
14,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,24755.919806347272,42090.47735005731
15,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,21592.19974528478,40806.518388017765
16,4282.675346270443,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,16219.18644254037,39624.49407118927
17,8102.029269999998,0.0,4200.577140000002,184.4783570127834,0.0,0.0,0.0,4258.466999999997,10272.606625128445,37227.84160785876
18,8102.029269999998,0.0,4200.577140000002,8969.423593832316,0.0,0.0,0.0,4258.466999999997,4652.261730080339,33469.24126608739
19,8102.029269999998,0.0,4200.577140000002,13642.50880619127,0.0,0.0,0.0,4258.466999999997,1301.9049459911696,29629.51283781755
20,8102.029269999998,0.0,4200.577140000002,13861.335025502432,0.0,0.0,0.0,4258.466999999997,56.14275408120429,27936.948810416452
21,8102.029269999998,0.0,4200.577140000002,12055.309635750298,0.0,0.0,0.0,4258.466999999997,0.0,27034.616954249726
22,8102.029269999998,0.0,4200.577140000002,7206.252355789675,0.0,0.0,0.0,4258.466999999997,0.0,27218.674234210353
23,8102.029269999998,0.0,4200.577140000002,4415.291569677061,0.0,0.0,0.0,4258.466999999997,0.0,26719.135020322956
24,8102.029269999998,0.0,4200.577140000002,2881.364610172192,0.0,0.0,0.0,4258.466999999997,0.0,26278.061979827817
25,8102.029269999998,0.0,4200.577140000002,2899.928489340223,0.0,0.0,0.0,4258.466999999997,0.0,25155.998100659777
26,8102.029269999998,0.0,4200.577140000002,4659.8407759368665,0.0,0.0,0.0,4258.466999999997,0.0,23391.085814063175
27,8102.029269999998,0.0,4200.577140000002,7247.5277995408305,0.0,0.0,0.0,4258.466999999997,3.0347434638488804,21452.864046995397
28,8102.029269999998,0.0,4200.577140000002,11639.034159164106,0.0,0.0,0.0,4258.466999999997,391.4819068365061,19559.910523999468
29,8102.029269999998,0.0,4200.577140000002,18951.007916524977,0.0,0.0,0.0,4258.466999999997,2873.90206026489,17305.01661321019
30,8102.029269999998,1249.0691591227169,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,8032.965948808001,15456.791482069319
31,8102.029269999998,0.0,4200.577140000002,18797.96450156514,0.0,0.0,0.0,4258.466999999997,14883.899318446825,14275.062769988062
32,8102.029269999998,0.0,4200.577140000002,14244.38586614916,0.0,0.0,0.0,4258.466999999997,21224.995786159103,13748.54493769174
33,8102.029269999998,0.0,4200.577140000002,10769.3161661138,0.0,0.0,0.0,4258.466999999997,25508.536185381727,14241.574238504432
34,8102.029269999998,0.0,4200.577140000002,6521.167327156976,0.0,0.0,0.0,4258.466999999997,29236.718530720114,15437.040732122854
35,8102.029269999998,0.0,4200.577140000002,3630.508585102647,0.0,0.0,0.0,4258.466999999997,31301.861457869305,15947.556547028065
36,8102.029269999998,0.0,4200.577140000002,2740.3512201886797,0.0,0.0,0.0,4258.466999999997,32103.03373232538,15488.54163748587
37,8102.029269999998,0.0,4200.577140000002,2713.0570340320564,0.0,0.0,0.0,4258.466999999997,31896.67117678366,14461.698379184269
38,8102.029269999998,0.0,4200.577140000002,5457.483805790443,0.0,0.0,0.0,4258.466999999997,29572.057683475425,12873.885100734064
39,8102.029269999998,0.0,4200.577140000002,9238.188616075968,0.0,0.0,0.0,4258.466999999997,25622.339065276097,11451.39890864799
