timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,8102.029269999998,8017.589192815643,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,4750.737397184315
2,8102.029269999998,7172.45536763816,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,4860.871222361802
3,8102.029269999998,7364.257771811948,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,5052.568818188012
4,8102.029269999998,8777.719905340617,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,4924.106684659348
5,8102.029269999998,12803.058055446612,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,4601.768534553363
6,8102.029269999998,21612.54043264397,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,4328.286157355979
7,8102.029269999998,27377.3,4200.577140000002,20203.6,1372.6889496757965,0.0,0.0,4258.466999999997,0.0,4284.337640324162
8,8102.029269999998,27377.3,4200.577140000002,20203.6,4213.870577231302,0.0,0.0,4258.466999999997,95.59441911123963,4117.061593657591
9,8102.029269999998,27377.3,4200.577140000002,20203.6,3977.6799957035964,0.0,0.0,4258.466999999997,995.3958561424325,3741.950738154093
10,8102.029269999998,27377.3,4200.577140000002,20203.6,3220.223968147516,0.0,0.0,4258.466999999997,2732.7864891959157,3170.016132656695
11,8102.029269999998,27377.3,4200.577140000002,20203.6,2380.97345159351,0.0,0.0,4258.466999999997,4476.246609177103,2621.306529229492
12,8102.029269999998,27377.3,4200.577140000002,20203.6,1239.6825990169145,0.0,0.0,4258.466999999997,5688.626622984735,2075.217367998297
13,8102.029269999998,27377.3,4200.577140000002,20203.6,648.4476028825707,0.0,0.0,4258.466999999997,5829.742194053696,2059.836793063689
14,8102.029269999998,27377.3,4200.577140000002,20203.6,495.4175780250633,0.0,0.0,4258.466999999997,4400.378022580886,2305.730989393971
15,8102.029269999998,27377.3,4200.577140000002,20203.6,2082.2087923439985,0.0,0.0,4258.466999999997,2136.4593985496126,2451.858399106474
16,8102.029269999998,27377.3,4200.577140000002,20203.6,3241.97942127098,0.0,0.0,4258.466999999997,345.9607548787725,2914.086413850376
17,8102.029269999998,27396.3,4200.577140000002,20203.6,5829.498618039723,0.0,0.0,4258.466999999997,4.552115195773325,3795.4758567646004
